Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-05 13:35:30,2018-07-05 13:35:36,5.624s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-07-05 13:35:31,2018-07-05 13:35:35,4.104s,FAILED
comment,,,2018-07-05 13:35:32,2018-07-05 13:35:32,0.063s,PASSED
comment,,,2018-07-05 13:35:32,2018-07-05 13:35:32,0.003s,PASSED
openBrowser,,,2018-07-05 13:35:32,2018-07-05 13:35:35,3.352s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-07-05 13:35:35,2018-07-05 13:35:36,0.359s,FAILED
comment,,,2018-07-05 13:35:35,2018-07-05 13:35:35,0.009s,PASSED
comment,,,2018-07-05 13:35:35,2018-07-05 13:35:36,0.015s,PASSED
openBrowser,,,2018-07-05 13:35:36,2018-07-05 13:35:36,0.018s,FAILED
,,,,,,
Test Cases/Main Test Cases/Test1,,,2018-07-05 13:35:36,2018-07-05 13:35:36,0.308s,FAILED
acceptAlert,,,2018-07-05 13:35:36,2018-07-05 13:35:36,0.034s,FAILED
